#{"t_start": 1675832312.0829282, "env_id": "SlimeVolley-v0"}
r,l,t
-5,492,1.692563
-4,625,2.440525
-5,525,2.935376
-5,575,3.533003
-5,577,4.170809
-5,544,4.855402
-5,443,5.261055
-5,542,5.80626
-5,404,6.251472
-5,629,6.919099
-5,634,7.613127
-5,463,8.205689
-5,537,8.714434
-5,611,9.253652
-2,1083,10.320039
-5,494,10.85559
-5,579,11.487753
-5,508,11.982936
-4,747,12.746157
-5,583,13.343178
-5,643,14.08872
-5,606,14.732005
-5,873,15.51519
-4,635,16.134913
-4,752,16.791832
-5,540,17.451573
-5,462,17.833433
-5,642,18.505033
-5,810,19.304658
-5,611,19.933009
-5,400,20.380613
-5,700,21.117675
-5,691,21.764334
-5,603,22.390616
-5,425,22.750262
-5,518,23.291913
-5,524,23.801101
-5,585,24.328938
-5,457,24.771636
-5,701,25.408331
-5,598,26.071946
-5,591,26.724079
-5,570,27.256638
-5,696,27.956753
-5,555,28.52872
-5,507,29.104609
-4,725,29.970422
-5,566,30.648438
-4,771,31.443529
-5,424,31.979964
-5,603,32.581503
-5,762,33.264703
-5,364,33.642723
-4,671,34.246617
-5,518,34.743841
-5,420,35.155399
-5,764,35.853295
-5,828,36.586604
-5,779,37.311812
-5,587,37.813538
-5,741,38.487943
-5,608,39.088314
-5,662,39.67183
-5,905,40.541104
-5,752,41.235341
-5,712,41.924126
-5,584,42.434707
-5,542,42.925022
-5,699,43.598177
-5,855,44.315581
-5,477,44.805661
-5,618,45.354227
-5,737,46.218758
-5,609,46.842954
-5,512,47.334132
-5,614,47.886918
-5,553,48.406935
-5,606,48.938703
-5,733,49.65024
-5,765,50.382908
-5,660,51.066703
-4,811,51.841687
-5,589,52.411248
-5,493,52.855206
-5,580,53.443209
-5,588,53.961862
-5,664,54.551185
-5,512,55.025534
-5,456,55.485986
-5,683,56.127305
-5,469,56.55125
-5,457,56.930346
-5,785,57.677377
-5,587,58.185425
-3,804,58.945215
-5,492,59.393322
-5,584,59.924719
-5,621,60.510296
-5,621,61.06254
-5,1103,62.295067
-4,556,62.883564
-5,686,63.5798
-5,623,64.174637
-5,745,64.903543
-5,621,65.483142
-5,427,65.903426
-5,533,66.404582
-5,535,66.905947
-5,497,67.363063
-5,534,67.83159
-5,626,68.374441
-4,799,69.132388
-5,566,69.689378
-5,735,70.361081
-5,437,70.775969
-5,499,71.264715
-5,416,71.682255
-5,548,72.183314
-5,497,72.614337
-5,464,73.062264
-5,553,73.582445
-5,654,74.159664
-5,543,74.690488
-5,824,75.449421
-5,865,76.276441
-5,455,76.699588
-5,865,77.47477
-5,474,78.078649
-5,795,78.88674
-5,575,79.391299
-5,494,79.864766
-5,487,80.327394
-5,464,80.771435
-5,599,81.3066
-5,578,81.904592
-5,474,82.322341
-5,590,82.857986
-5,669,83.45084
-5,482,83.932558
-5,661,84.575084
-5,393,84.927688
-5,704,85.619235
-5,852,86.434527
-5,451,86.832046
-4,667,87.48695
-5,651,88.049294
-4,804,88.856251
-5,606,89.403711
-5,559,89.904822
-5,523,90.417997
-5,731,91.095765
-5,747,91.801043
-5,410,92.198698
-5,773,92.946849
-5,550,93.448431
-5,860,94.465055
-5,509,94.954544
-5,814,95.77442
-5,613,96.393037
-5,475,96.839622
-5,667,97.420828
-5,538,97.921012
-5,599,98.52606
